molecula|TASA|Num. of Rotatable bonds|NaasN|Oscillator Force (HOMO-LUMO transition)|GATS1pe|Dipole (gas phase)|Log Kp (cm/s)|heavy_atom_count|PNSA3|Mor01p|Log Po/w XLOGP3|Log Po/w MLOGP|Synthetic Accessibility|FNSA1|Fraction Csp3|Log Po/w Silicos-IT Log P|Total Energy (gas phase) (Hartree)|Area (grid)|pIC50
5b_a50|486.9950914|2.0|2|0.1094|0.6642694929999999|4.4181|-6.03|24.0|-20.90908698|409.0289917|3.06|2.4|3.37|0.5887490470000001|0.1|3.15|-990.5849031|547.35|4.9126
4c_a46|562.9269925|5.0|1|0.2083|0.65145414|4.1039|-5.39|29.0|-40.22007179|696.2528933|4.63|3.4|4.09|0.840753785|0.38|5.11|-1245.392965|683.75|5.6972
25c_a34|455.6954382|6.0|1|0.2239999999999999|0.760055383|7.12|-7.95|31.0|-59.0359041|648.0187526000001|1.3|1.0|3.64|0.537428437|0.32|2.18|-1426.666471|704.43|5.7496
13_a12|441.2142447|3.0|0|0.0155|0.804066411|1.3023|-5.49|21.0|-28.51381164|327.9594923|3.51|2.42|2.7|0.8829921740000001|0.12|3.63|-876.3370809|532.86|7.0315
10_a47|449.6950454|3.0|0|0.2175|0.6913602740000001|1.9281|-5.08|27.0|-40.80144983|498.0016816|4.8|3.21|3.02|0.801882632|0.09|5.12|-1188.3744|579.86|7.9
19_a31|428.3459076|7.0|0|0.2271|0.6427749970000001|1.7076|-6.41|25.0|-53.25742146|460.3754405|2.93|1.68|3.44|0.776211804|0.28|5.8|-1489.4951640000002|625.93|5.7447
12aq_a36|455.31741460000006|6.0|0|0.0059|0.849217847|6.7649|-7.79|32.0|-73.0277723|689.2886595|1.55|1.28|4.83|0.7619767479999999|0.13|1.92|-1401.637414|703.04|7.2596
19_a47|354.3911695|5.0|1|0.3243|0.614975047|5.1151|-7.22|28.0|-58.28861174|428.5826478|1.97|1.67|3.13|0.637832605|0.05|2.49|-1335.725639|571.23|7.3
4_a3|352.05186289999995|2.0|0|0.119|0.628171026|2.3542|-5.21|23.0|-52.4583525|347.9532383|4.3|3.07|2.94|0.866976271|0.0|5.3|-1355.303098|504.29|5.9
19k_a38|417.968819|6.0|0|0.1156|0.730686013|9.1508|-7.84|33.0|-71.54314527|686.8472757999999|1.65|1.65|4.89|0.75964689|0.13|2.34|-1500.852284|677.64|7.9666
11_a33|416.4353629|3.0|0|0.5408|0.781083337|3.1406|-5.97|22.0|-34.4118011|335.4799765|3.28|0.89|3.19|0.552878386|0.13|5.77|-1669.304085|506.55|8.3188
26_a47|412.8219782|4.0|1|77.0|0.651797437|3.6825|-6.51|28.0|-57.01987795|457.1122177|3.12|2.59|3.13|0.717639177|0.05|2.84|-1696.075481|592.84|7.9
27_a47|541.8239522999999|5.0|1|0.1839|0.634406338|4.0365|-6.34|31.0|-40.35526807|682.9868225|3.7|3.11|3.37|0.700732763|0.26|4.18|-1778.078632|673.27|5.6
14s_a23|595.0854952000001|5.0|2|0.3669|0.659570836|4.7032|-6.03|31.0|-35.30692476|633.3278634|4.21|3.51|3.45|0.7748161659999999|0.05|4.0|-2089.500101|668.66|8.5482
6e_a31|380.0911673|4.0|0|0.5103|0.795570315|5.8193|-6.5|29.0|-74.99224589|536.6368656000001|3.2|1.36|3.55|0.7604979040000001|0.1|5.19|-1652.63264|634.34|6.4318
4f_a49|400.1675422|3.0|1|0.0579999999999999|0.670594896|1.7833|-6.6|27.0|-55.88123394|467.1194103|2.64|2.03|3.07|0.718306291|0.14|3.42|-1179.201105|575.01|7.3979
8b_a31|317.3534883|4.0|0|0.2643|0.8761979520000001|3.6945|-6.87|23.0|-63.04219151|372.3224834|2.02|0.61|3.4|0.703469355|0.25|4.52|-1386.815519|566.18|5.6576
1c_a5|453.4753671|3.0|0|0.1076|0.6977404359999999|1.7105|-5.77|24.0|-34.82350689|409.0289917|3.43|2.13|2.78|0.753027268|0.05|4.99|-990.5931502|556.84|5.4
20_a47|375.4483088|5.0|1|0.2807|0.59534794|3.1747|-6.75|28.0|-45.68149289|428.5826478|2.63|2.75|3.19|0.595234209|0.05|2.56|-1335.708279|557.84|8.6
4a_a46|479.8368017|2.0|1|0.1694|0.683616517|3.1825|-5.87|24.0|-28.50561609|480.9500663|3.34|2.35|3.76|0.742626378|0.35|4.18|-994.2146342|560.87|6.7423
13b_a50|647.7242444|7.0|2|0.1553|0.71935296|5.5271|-6.3|34.0|-36.81915624|900.2031356000001|3.91|2.52|4.78|0.700410304|0.37|4.24|-1470.3699789999998|780.4|5.7375
15a_a10|588.9895149|6.0|1|0.1583|0.713078124|4.7512|-6.52|30.0|-29.50952422|697.5493042|3.12|1.93|3.5|0.676473201|0.29|3.95|-1278.4225210000002|687.57|7.6198
40_a47|438.171933|3.0|1|0.2612|0.607650682|4.7542|-6.78|25.0|-32.5926343|388.178924|2.19|1.52|3.07|0.573656733|0.11|2.96|-1123.144637|571.5|8.4
47i_a18|559.3312455|8.0|0|0.5085|0.727767462|2.7749|-6.36|33.0|-54.34379065|855.7438937000001|3.7|2.74|4.05|0.8608685909999999|0.22|3.28|-1416.233978|744.95|7.7212
12c_a5|553.2961182|6.0|0|105.0|0.782051277|3.0135|-6.79|31.0|-46.62294305|735.3048881|2.84|1.57|3.27|0.583585895|0.24|5.03|-1316.5202869999998|694.24|7.3279
12t_a30|452.99711|5.0|0|0.1561|0.591758164|2.6784|-6.06|31.0|-58.89093185|616.2856203|4.07|3.58|4.63|0.745705883|0.14|4.67|-1774.208418|677.85|8.0496
1l_a5|502.9124512|4.0|0|187.0|0.71872376|2.1987|-5.4|26.0|-38.79937717|518.5792364|4.19|2.57|2.98|0.769406114|0.14|5.56|-1069.229786|609.85|7.4949
13j_a6|416.2679342|6.0|0|0.0259|0.830577798|8.3187|-6.81|32.0|-80.33128667|673.8038326000001|2.95|1.18|3.56|0.7841668409999999|0.12|4.16|-1426.520775|712.52|6.5817
13i_a6|418.3467934|6.0|0|19.0|0.830577798|7.8342|-6.81|32.0|-80.75190740000001|673.8038326000001|2.95|1.18|3.59|0.783597763|0.12|4.16|-1426.518007|703.43|7.6778
12m_a30|531.4632661|6.0|0|0.1615|0.770326886|3.6891|-6.22|32.0|-57.96147772|683.7405759|3.89|2.06|4.66|0.773732767|0.13|3.4|-1743.174906|714.92|7.5114
9_a15|471.903131|7.0|0|0.0115|0.8105478740000001|1.4625|-5.52|27.0|-41.10356167|532.0914339999999|4.24|1.96|3.16|0.51257747|0.19|3.9|-1223.687392|588.55|6.9706
2_a1|367.8635872|2.0|1|0.2991|0.5574897879999999|3.5853|-6.04|21.0|-28.32386891|299.6692382|2.76|2.49|2.91|0.6944040029999999|0.18|4.0|-920.184721|489.42|5.2366
14a_a10|661.4615097|7.0|1|0.0005|0.740051323|3.1205|-6.82|35.0|-32.23041637|1003.968547|3.29|1.94|3.98|0.542015878|0.39|4.16|-1489.803158|800.01|7.1308
20_a31|498.4558574|7.0|0|0.2011|0.7507116140000001|3.7403|-6.39|27.0|-53.79798102|557.1050635|3.29|1.1|3.46|0.710707042|0.26|6.49|-1880.734655|666.67|8.0862
12o_a30|543.3140456|5.0|0|149.0|0.7463962120000001|5559.0|-5.75|30.0|-49.48891079|652.8825454|4.49|3.31|4.63|0.8131344979999999|0.14|4.47|-2035.338699|687.92|7.8097
4S4k_a46|472.7005375|2.0|1|0.0654|0.784722915|2.2655|-5.46|25.0|-47.49082053|519.5743695|4.05|2.84|3.8|0.8679099640000001|0.33|4.26|-1053.415665|566.82|6.7055
6d_a40|424.7009165|5.0|1|0.3518|0.604211552|7.8884|-6.36|30.0|-73.59650182|555.2010623|3.87|2.01|3.98|0.86005241|0.21|4.8|-2470.793925|656.5|8.9208
10_a32|470.8845962|7.0|0|0.2983|0.764217655|2.4919|-6.44|27.0|-54.55170955|513.9156315|3.23|0.88|3.56|0.6946347429999999|0.22|5.64|-1916.631761|654.7|8.1427
3j_a32|459.4516326|3.0|0|0.3005|0.7557114|3.6238|-5.6|23.0|-37.33051857|398.2788055|3.89|1.94|3.27|0.7487739999999999|0.24|6.68|-1671.479105|564.55|8.0969
47c_a18|653.4941186000001|12.0|0|0.5869|0.7601847759999999|3.3075|-6.61|38.0|-57.54296759|1167.054827|3.98|2.41|4.61|0.7489981509999999|0.3|2.84|-1664.721977|850.89|8.5229
12bc_a36|560.6615736|5.0|0|0.3478|0.771220556|6.5854|-6.26|31.0|-51.87437401|661.6709012|3.93|2.99|4.73|0.77146807|0.14|3.99|-2152.100551|705.12|8.0969
16_a47|358.566882|3.0|0|0.0909|0.57616624|2.3795|-6.04|25.0|-48.30620628|357.35851410000004|3.27|2.72|2.93|0.697929921|0.06|4.47|-1167.0124560000002|534.69|9.0
5b_a40|442.1045286|3.0|1|0.3005|0.503365018|7.2947|-5.42|21.0|-38.64461938|285.9136384|4.14|2.89|3.13|0.829018186|0.21|4.93|-2096.767375|515.23|7.1938
9a_a36|505.25728260000005|5.0|0|0.4811|0.79302567|5.7274|-6.74|29.0|-45.04449811|578.2841135|2.66|2.02|4.69|0.7638345870000001|0.14|3.04|-1252.77514|648.41|7.8861
11_a3|367.9098016|2.0|0|0.4441|0.834020779|3.3694|-6.59|22.0|-45.19136777|311.6695405|2.22|0.8|3.19|0.752484736|0.0|3.79|-1288.165162|508.58|7.3979
3_a4|446.8068266|2.0|1|0.0871|0.623172012|2681.0|-5.99|24.0|-25.5405205|409.0289917|3.12|2.44|2.99|0.7196876640000001|0.15|4.02|-990.6149055|535.44|6.983
12j_a36|563.0803357000001|6.0|0|98.0|0.855081905|6.4451|-6.64|31.0|-46.2113679|725.9470896|3.19|2.51|4.86|0.7758129420000001|0.17|3.33|-1670.420129|694.28|8.0
18_a3|374.610053|2.0|0|0.3326|0.6858831809999999|2.6366|-6.7|21.0|-31.07331853|270.539096|1.79|0.93|2.62|0.682492203|0.0|3.42|-889.9402005000001|482.41|7.5229
47o_a18|586.0020642999999|9.0|0|0.5065|0.733228144|2.2316|-6.12|34.0|-56.13142962|931.8364349|4.16|2.94|4.17|0.872753077|0.25|3.69|-1455.547304|783.22|7.3279
4n_a46|496.2788787|2.0|1|0.0711|0.7427183759999999|6.2318|-5.26|26.0|-56.80797266|525.8291956999999|4.41|2.99|3.75|0.863203663|0.27|4.33|-1090.302556|578.83|5.2845
13n_a6|486.5239262|6.0|0|0.1945|0.82642394|7.1946|-7.23|33.0|-68.88015714|724.3873672999999|2.43|0.81|3.55|0.748967057|0.08|4.19|-1423.714738|727.69|7.1249
12ay_a36|537.618563|5.0|0|0.1464|0.857993338|6.2579|-6.38|31.0|-48.12939044|729.1873176|3.41|2.45|4.96|0.778164805|0.21|3.76|-1311.547668|674.33|7.7447
12e_a40|423.3709264|2.0|1|284.0|0.8096582170000001|2.5946|-5.26|24.0|-71.78145688|348.3847394|4.72|2.93|3.27|0.790818822|0.0|4.34|-2248.244231|552.91|5.9318
18a_a22|628.6440468999999|6.0|1|0.0354|0.722009212|3.851|-6.28|32.0|-34.36220678|730.9420477000001|3.78|2.13|3.49|0.710467198|0.08|5.32|-1691.2957760000002|695.35|7.8861
3m_a32|477.1904954|3.0|0|0.2952|0.6672533589999999|5082.0|-6.17|27.0|-50.60363458|554.9424306|3.57|1.74|3.51|0.674468222|0.3|7.02|-1863.46877|641.52|7.6383
15c_a10|627.5338454|6.0|1|0.0|0.733973277|2.4256|-6.99|34.0|-32.5870313|924.9341455|2.94|1.74|3.85|0.528228415|0.37|3.77|-1450.500669|762.21|7.0
4a_a49|464.3095353|6.0|1|0.0789|0.731643066|3.9716|-7.52|30.0|-57.79201133|620.5697596|1.71|1.25|3.35|0.650301539|0.22|3.4|-1313.158118|660.19|7.4949
13_a1|395.1486144|4.0|0|0.3535|0.833702788|2.7595|-6.48|28.0|-64.94184903|505.2124255|2.94|1.74|3.35|0.7082629840000001|0.09|4.75|-1238.367298|613.52|6.585
16b_a32|478.3482386|7.0|0|0.2849|0.6762731040000001|4.4055|-6.72|28.0|-56.84546999|597.8890744|3.14|0.41|3.71|0.7476362679999999|0.28|5.4|-2315.951437|676.92|7.7696
27a_a34|421.319507|6.0|1|0.0203|0.749941528|10.8591|-7.29|33.0|-74.78290605|718.5861133999999|2.59|1.06|3.66|0.764921711|0.13|2.01|-1861.695683|737.7|6.6198
4d_a46|513.9109507000001|2.0|1|0.1313|0.623144956|3.5318|-5.4|25.0|-30.95621863|509.0572545|4.3|2.84|3.78|0.813427965|0.35|4.81|-1453.817782|588.18|6.2865
4R4l_a46|486.6405745|3.0|1|0.0851|0.7936534740000001|2.1973|-5.23|26.0|-49.12015477|579.2365607|4.49|3.06|3.92|0.8782984840000001|0.36|4.64|-1092.728268|584.44|6.8633
8a_a8|329.9007832|4.0|1|0.1729|0.7318727540000001|5.4201|-7.04|30.0|-78.93428863|529.053307|2.4|1.9|3.37|0.76420633|0.05|3.13|-1367.744724|620.68|4.9454
12am_a36|563.0333297999999|7.0|0|0.2987|0.624142499|5.9258|-6.4|34.0|-63.19394154|672.4630346|3.86|2.04|4.81|0.788334835|0.17|3.31|-1645.169789|714.21|7.2218
4h_a46|601.9869510999999|6.0|1|0.291|0.6947264059999999|1.7601|-6.38|36.0|-65.24476749|1021.999374|4.21|2.27|4.63|0.805506105|0.3|3.46|-1923.878801|792.61|6.6402
14f_a23|604.5178506|6.0|2|0.1699|0.71381683|6.3534|-6.47|32.0|-40.51498423|683.7405759|3.55|2.72|3.57|0.665778294|0.09|3.42|-1744.429532|711.98|8.6459
47d_a18|682.5509007|12.0|0|0.5820000000000001|0.741366815|3.7605|-6.57|39.0|-52.14267013|1255.618298|4.16|2.6|4.73|0.69814381|0.32|2.81|-1704.0327519999998|875.6|8.0969
16j_a32|590.7291534|8.0|0|0.2907|0.762429418|3.4656|-5.73|30.0|-54.71915795|701.9321161|4.59|1.57|3.86|0.699790508|0.33|6.49|-2034.593521|729.78|8.0315
1_a6 (SB-431542)|352.3666367|4.0|0|0.3346|0.795744863|6.0113|-6.73|29.0|-74.98172333|513.4628663999999|2.7|1.54|3.25|0.7531996609999999|0.05|4.04|-1292.553086|619.92|5.8119
5a_a40|377.5905776|3.0|1|0.4461|0.5263598389999999|5.7163|-5.9|19.0|-34.5789643|244.8873477|2.88|1.85|3.04|0.8224652720000001|0.21|3.68|-1177.5835470000002|466.79|7.0915
16a_a10|634.4309626|9.0|1|0.0841|0.72613292|3.8323|-5.91|33.0|-36.408063|879.8636987|4.33|2.47|4.11|0.7270593190000001|0.3|4.73|-1395.13019|760.0|7.3279
3k_a32|494.8840288|3.0|0|0.3082|0.7681279190000001|3.2233|-5.01|25.0|-40.10830541|506.658189|4.97|2.41|3.47|0.78057227|0.32|7.12|-1750.1383649999998|611.65|8.0605
1h_a5|459.3001331|3.0|0|0.1754|0.6977404359999999|2.2396|-5.77|24.0|-35.25675213|409.0289917|3.43|2.13|2.8|0.7450549759999999|0.05|4.99|-990.6032645|556.57|7.5528
11a_a31|245.6599349|3.0|0|0.2797|0.819138461|6.4691|-6.51|23.0|-76.64827023|302.14325319999995|2.53|0.57|3.26|0.735254945|0.13|3.93|-1441.411622|529.63|6.7212
17_a4|458.3237652|3.0|1|0.2045|0.484393047|4.8197|-5.56|25.0|-45.75108579|319.5521911|4.01|3.66|3.31|0.861696586|0.11|4.59|-1255.968357|527.39|6.057
1i_a5|494.6981114|4.0|0|0.0207|0.513260607|2.6336|-5.73|27.0|-50.81756452|403.396385|3.95|2.73|2.83|0.759459597|0.05|5.48|-1288.322373|569.42|7.6198
9r_a24|564.3096436000001|8.0|0|0.0029|0.7526889940000001|1.9698|-6.83|30.0|-41.49802275|670.2247423|2.69|1.02|3.53|0.6152148279999999|0.22|4.23|-1294.451958|713.25|7.9586
3t_a32|523.3947687|7.0|0|0.2906|0.687253845|1.2641|-5.81|27.0|-50.65701113|582.0730423|4.09|1.74|3.58|0.684474482|0.3|7.65|-1864.678788|677.16|8.0458
12o_a36|546.7667677000001|7.0|0|0.2888|0.817582774|4.9237|-7.66|33.0|-59.0895896|757.7532208|1.85|1.49|4.97|0.666462845|0.17|2.38|-1440.926241|728.07|7.3979
14e_a23|644.0923882999999|6.0|2|0.3178|0.5415996160000001|3.7696|-6.06|34.0|-51.07141556|658.8108151|4.46|3.82|3.54|0.796525872|0.09|4.42|-1966.943431|706.39|8.5214
11c_a5|489.4652669|6.0|0|0.2186|0.658307423|2.5278|-6.59|28.0|-47.99592739|523.8031619|2.78|1.13|2.96|0.707039635|0.09|4.79|-1218.454079|636.14|7.6021
21b_a23|652.4673795|5.0|2|0.2333|0.668547062|9.5312|-6.42|33.0|-41.81114831|712.6737861|3.7|2.6|3.59|0.812334718|0.08|3.92|-1761.4722969999998|735.65|7.0691
11b_a5|524.5231302|6.0|0|0.2013|0.682032125|1.9569|-6.03|27.0|-45.82509318|504.9898148|3.62|2.01|2.99|0.66824472|0.1|5.38|-1564.72614|635.55|7.7212
9_a1|435.4501351|4.0|0|0.5409|0.572272366|4.1623|-5.81|27.0|-46.63553015|472.9447227|3.76|2.74|2.78|0.7816897429999999|0.05|5.86|-1187.193365|600.6|5.2218
12x_a36|562.6051882|6.0|0|0.0199|0.855081905|5.6653|-6.64|31.0|-49.60929169|725.9470896|3.19|2.51|4.87|0.7768535409999999|0.17|3.33|-1670.419519|719.63|8.1549
12k_a30|539.9866061|6.0|0|0.1512|0.7933543279999999|4.9516|-6.19|31.0|-52.35426525|704.0353382000001|3.84|2.51|4.72|0.7081361979999999|0.17|3.89|-1690.269144|710.82|7.6144
6_a3|390.8623623|2.0|0|129.0|0.773152968|2.8131|-5.68|23.0|-52.01903278|353.7528308|3.79|2.11|3.05|0.80281499|0.0|4.96|-1731.7043199999998|524.88|5.7501
3q_a32|524.6043311000001|7.0|0|0.2897|0.716172604|4.1362|-6.35|28.0|-41.72706804|618.9134881|3.47|1.33|3.57|0.6349739010000001|0.3|6.43|-1920.042674|666.16|7.5528
7b_a10|480.6333417|2.0|0|0.0899|0.586354126|4.2068|-5.09|25.0|-30.71062112|459.0250226|4.68|3.04|3.9|0.781045839|0.25|4.34|-1450.06366|562.31|4.7033
17_a3|408.6362608|2.0|0|0.4062|0.773152968|3.8077|-5.61|23.0|-50.20132919|353.7528308|3.88|2.37|3.13|0.840062179|0.0|4.96|-1731.72355|537.32|7.6383
12e_a30|541.7533217|6.0|0|151.0|0.7933543279999999|5551.0|-6.19|31.0|-52.50202674|704.0353382000001|3.84|2.51|4.72|0.7071208529999999|0.17|3.89|-1690.2687170000002|709.98|7.9431
17_a20|598.1153253|4.0|0|0.2977|0.71987165|3.9703|-6.09|31.0|-41.75129828|637.7803874|3.75|1.45|3.5|0.75430388|0.08|5.8|-1291.918735|673.68|5.6478
19e_a38|523.2534216|6.0|0|0.3738|0.700181525|5.8426|-6.39|32.0|-56.34606212|696.3887025|3.55|2.75|4.96|0.749190974|0.12|4.03|-1409.547647|685.34|8.0083
3p_a32|482.3550967|4.0|0|0.3083|0.6956696440000001|4.3094|-6.8|27.0|-41.73212799|530.5658569|2.7|1.1|3.38|0.6199678829999999|0.26|6.06|-1879.527843|626.32|7.585
12d_a30|544.6198897999999|5.0|0|149.0|0.7991060659999999|4434.0|-5.81|30.0|-47.69710881|686.039456|4.23|3.04|4.75|0.8143892140000001|0.17|4.35|-1615.063947|695.57|7.9508
12g_a31|357.8560168|7.0|0|265.0|0.7983388929999999|1.6279|-6.86|27.0|-78.87508829|524.0230338|2.52|0.86|3.61|0.6886488690000001|0.32|5.19|-1578.800869|664.44|6.9586
14t_a23|600.1979272000001|5.0|2|0.0003|0.6906097959999999|5.8672|-6.1|31.0|-36.09926385|666.0036144999999|3.94|3.24|3.52|0.799945841|0.09|3.88|-1669.21916|692.08|8.3979
8k_a46|529.6539372999999|5.0|1|0.1166|0.687020939|3.4118|-6.75|34.0|-61.98124174|865.6610153999999|3.45|1.86|3.94|0.8265691140000001|0.24|2.94|-1845.257085|742.04|6.8327
6_a47|456.3812788|3.0|0|0.2119|0.672308592|3.2606|-5.02|27.0|-43.43026699|469.7495559|5.06|3.48|2.82|0.7943908059999999|0.05|5.24|-1608.652005|576.56|7.9
18b_a25|656.9874135|6.0|1|0.0468|0.6915652390000001|2.8141|-5.93|34.0|-44.30110081|809.2903831|4.48|2.2|3.58|0.7847794690000001|0.07|5.93|-1767.494087|728.12|7.2924
13d_a5 (GW788388)|511.985152|6.0|0|0.1549|0.71006207|2.4867|-6.94|32.0|-57.42492153|723.0631751|2.75|1.37|3.21|0.669182121|0.2|4.56|-1390.548362|707.09|7.7447
12ak_a36|611.9003905000001|6.0|0|0.0001|0.860667615|6.3682|-6.19|32.0|-49.87483724|799.5563855|3.8|2.66|5.05|0.737439195|0.24|3.85|-1350.865407|730.3|7.3372
22_a4|413.8681986|2.0|1|0.1293|0.755510052|3.5548|-5.91|22.0|-45.61565825|338.71903330000004|3.03|2.09|3.3|0.8444670409999999|0.11|3.19|-934.240411|519.39|7.3279
4j_a46|561.0237355|4.0|1|0.1418|0.728293097|2.9043|-5.09|27.0|-34.99059698|642.1335502000001|4.81|3.28|4.0|0.776932317|0.39|5.18|-1132.018764|646.67|6.0942
12ao_a36|550.8740683|6.0|0|0.0033|0.856135378|5.4691|-6.34|31.0|-51.52001456|698.847203|3.45|2.38|4.87|0.7820981779999999|0.12|3.62|-1310.328652|701.9|7.5229
3o_a32|483.0270239|3.0|0|0.2851|0.840991936|3.2729|-6.17|26.0|-42.51640563|541.0877621000001|3.46|1.58|3.47|0.7850948190000001|0.32|6.39|-1805.473626|620.56|6.6198
47l_a18|571.4972966|9.0|0|0.5019|0.733228144|2.4594|-6.39|34.0|-57.15119372|931.8364349|3.78|2.94|4.17|0.796109347|0.25|3.69|-1455.5497369999998|764.74|7.4949
2_a47|422.1277419|3.0|0|0.2143|0.875463345|2.1266|-5.0|24.0|-41.57671973|392.6099255|4.52|2.39|2.58|0.784978115|0.0|3.7|-1010.505024|536.13|6.2
12bg_a36|576.6383913|5.0|0|0.4409|0.771220556|6.6844|-6.26|31.0|-51.74990566|661.6709012|3.93|2.99|4.75|0.747867728|0.14|3.99|-2152.104584|703.94|7.8239
11a_a5|638.3599998999999|7.0|0|0.1838|0.7410766209999999|2.8611|-4.54|32.0|-46.13206353|835.912531|6.13|3.05|3.53|0.740865275|0.3|6.38|-1339.802852|739.79|7.0915
12b_a50|465.4891075000001|2.0|2|0.0777|0.660148928|4.0567|-6.44|24.0|-22.92589265|388.171611|2.5|2.02|3.31|0.5731907470000001|0.11|2.59|-1006.641541|539.15|5.3242
13m_a6|498.9881336|6.0|0|0.1924|0.82642394|4.2913|-7.23|33.0|-68.97140339|724.3873672999999|2.43|0.81|3.59|0.7362989999999999|0.08|4.19|-1423.712909|726.28|8.0
13h_a6|606.9504647000001|6.0|0|0.2121|0.789769968|7.2872|-6.31|33.0|-51.85624128|744.1359788|3.7|1.13|3.64|0.736918588|0.12|5.41|-1386.569017|738.61|7.3279
18_a47|487.2556678|4.0|0|0.0516|0.630969651|3.4464|-5.87|31.0|-49.44908758|628.5247532999999|4.13|2.63|3.47|0.7327484470000001|0.08|5.53|-1354.180815|652.12|8.6
5_a47|426.5981263000001|3.0|0|0.2108|0.675164258|2.9121|-5.19|26.0|-46.33853208|416.1194472|4.7|3.26|2.67|0.781571204|0.0|4.73|-1569.333281|561.61|7.7
13b_a5|537.6736515|5.0|0|0.3064|0.653356347|3.5881|-6.58|30.0|-44.93506461|638.8437454|3.01|1.96|2.97|0.654076389|0.17|4.64|-1276.030896|672.43|6.9586
